TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
SFRO11;0,00;;0,00;5,93;;;102,53;;;5.191.438,53;20,00;Passiva;875.758,00
JBFO11;92,56;0,600000;7,42;92,58;1,00;314.333,00;1,04;;;118.410.341,69;363,00;Ativa;1.279.070,00
JFLL11;72,70;0,620000;10,24;100,43;0,73;110.460,90;2,29;;;150.703.793,79;4.437,00;Ativa;1.500.598,00
JPPA11;105,55;1,550000;17,77;99,39;1,06;354.199,54;0,78;32,44;;60.027.155,80;6.560,00;Ativa;603.964,00
JPPC11;199,99;0,170000;13,29;366,60;0,55;199,00;9,10;;;20.163.145,25;87,00;Ativa;55.000,00
KCRE11;94,13;0,350000;4,46;100,72;0,93;266.471,69;8,92;;;362.587.803,52;3.999,00;Ativa;3.600.000,00
KEVE11;1.060,00;2,708174;1,10;969,51;1,09;13.005,35;2,17;;;143.198.022,89;417,00;Passiva;147.700,00
KFOF11;90,91;0,720000;8,59;100,23;0,91;962.723,31;1,81;7,20;-8,32;454.362.916,29;9.127,00;Ativa;4.533.315,00
KISU11;8,61;0,075000;9,69;9,38;0,92;846.097,64;2,28;;;414.610.309,11;94.282,00;Ativa;44.196.050,00
KIVO11;95,98;1,150000;9,74;98,30;0,98;207.774,71;41,73;;;119.447.539,87;1.288,00;Ativa;1.215.124,00
LGCP11;86,51;0,620000;8,31;102,16;0,85;625.822,15;0,79;;;279.186.873,52;13.112,00;Ativa;2.732.860,00
LKDV11;969,58;;0,00;961,50;1,01;775.664,00;2,98;;;64.238.803,78;68,00;Ativa;66.811,00
LSPA11;107,70;0,750000;8,01;107,42;1,00;2.206.895,00;0,90;;;43.453.220,26;224,00;Ativa;404.500,00
ARCT11;99,63;0,780000;17,48;99,86;1,00;1.317.777,13;0,24;5,67;-53,66;370.290.091,16;36.737,00;Ativa;3.708.168,00
MALL11;109,90;0,800000;7,74;108,00;1,02;1.862.262,62;2,68;28,51;2,58;816.539.203,68;105.165,00;Ativa;7.560.351,00
MATV11;93,49;1,000000;15,08;93,43;1,00;17.321,34;1,18;;;39.798.505,96;254,00;Ativa;425.968,00
ARRI11;9,29;0,140000;17,51;9,22;1,01;354.271,21;2,43;;;108.613.266,44;13.214,00;Ativa;11.782.610,00
