TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
MFAI11;57,29;0,570000;13,35;66,14;0,87;44.197,39;0,27;;;20.905.527,77;3.445,00;Ativa;316.074,00
EURO11;225,99;1,870000;9,66;325,13;0,70;69.558,73;1,53;20,42;17,27;124.828.841,27;2.509,00;Passiva;383.936,00
SNCI11;96,70;1,000000;14,33;97,56;0,99;786.945,58;1,51;;;409.742.232,31;44.595,00;Ativa;4.200.000,00
JCDA11;0,00;;0,00;10,53;;;3,17;;;150.686.868,73;50,00;Passiva;14.304.223,00
TBOF11;15,56;0,822740;5,29;0,21;74,10;;492,15;74,62;-45,69;2.097.587,74;9.180,00;Passiva;10.050.000,00
SNLG11;38,69;0,350000;12,33;61,48;0,62;59.215,55;29,08;;;116.088.485,68;3.940,00;Ativa;1.888.174,00
HREC11;77,04;0,900000;15,48;88,84;0,87;655.270,39;1,07;;;458.136.553,10;1.054,00;Ativa;5.156.765,00
NSLU11;168,03;1,514207;6,33;199,10;0,85;143.396,73;3,03;-14,53;-9,64;257.495.058,22;6.593,00;Passiva;1.293.286,00
EGYR11;1,09;;0,00;12,40;0,09;38.736,48;0,00;;;93.276.676,40;25,00;Passiva;7.524.543,00
OUJP11;91,68;1,250000;16,82;99,83;0,92;1.003.327,79;6,37;25,62;-3,29;324.677.302,55;27.687,00;Ativa;3.252.384,00
PATC11;63,46;0,220000;6,93;76,17;0,83;193.772,12;1,00;8,50;-8,55;264.876.923,19;8.170,00;Ativa;3.477.434,00
VTXI11;0,00;;0,00;11,43;;;26,59;;;1.183.499,20;2,00;Ativa;103.500,00
GCFF11;67,00;0,750000;13,49;78,83;0,84;36.882,31;0,82;;;26.691.388,19;1.928,00;Ativa;338.598,00
LIFE11;10,00;0,135000;13,90;10,13;0,99;11.909,61;7,34;;;173.250.565,16;924,00;Ativa;17.110.848,00
LRDI11;0,00;;0,00;98,59;;;16,57;;;27.050.653,19;18,00;Ativa;274.379,00
WTSP11B;39,00;0,230000;3,19;72,43;0,54;13.098,47;0,65;-2,04;-12,32;71.895.390,14;202,00;Ativa;992.565,00
NCRI11;9,50;0,110000;3,58;10,15;0,94;28.506,74;8,20;;;40.104.262,88;93,00;Ativa;3.949.999,00
RMAI11;47,00;0,260000;6,65;107,82;0,44;18.699,97;0,55;;;263.485.516,14;1.185,00;Ativa;2.443.800,00
RBLG11;93,19;0,880000;10,90;98,92;0,94;257.691,45;1,58;;;63.328.662,86;178,00;Ativa;640.199,00
BCRI11;83,80;0,800000;16,91;100,39;0,83;772.814,33;5,49;10,60;-7,21;628.242.141,38;47.227,00;Ativa;6.257.873,00
WHGR11;8,45;0,100000;9,94;9,99;0,85;532.176,64;1,91;;;250.558.835,03;4.208,00;Ativa;25.089.531,00
WPLZ11;66,60;0,450000;8,03;87,69;0,76;3.884,15;2,25;-3,04;-9,55;89.510.284,16;1.824,00;Passiva;1.020.747,00
RCFF11;99,00;1,231214;3,01;89,90;1,10;13.108,45;12,97;;;29.056.654,59;84,00;Ativa;323.200,00
OURE11;72,30;0,950000;17,22;90,42;0,80;165.062,24;3,98;18,47;-5,29;97.391.495,28;5.735,00;Ativa;1.077.087,00
ZIFI11;1.062,00;3,304958;0,31;1.181,16;0,90;16.690,18;0,47;;;56.087.213,74;66,00;Ativa;47.485,00
BIME11;6,80;0,080000;18,59;8,92;0,77;77.033,91;2,20;;;52.153.188,86;6.805,00;Ativa;5.845.602,00
BRIX11;0,00;;0,00;939,69;;;3,42;;;62.897.340,02;82,00;Ativa;66.934,00
BREV11;114,00;0,410000;7,01;121,48;0,94;2.317,26;4,11;19,76;;117.495.806,73;203,00;Ativa;967.201,00
CXCI11;75,50;0,830000;12,17;90,39;0,84;98.121,48;1,16;;;186.004.058,68;5.497,00;Ativa;2.057.726,00
VRTA11;87,22;0,950000;14,64;91,04;0,96;2.209.939,24;4,46;12,22;-7,11;1.419.458.078,02;119.717,00;Ativa;15.592.424,00
XPSF11;6,99;0,076000;12,53;8,06;0,87;687.284,82;3,60;0,79;-6,41;349.182.381,89;39.170,00;Ativa;43.302.140,00
GALG11;8,44;0,082000;11,55;9,29;0,91;411.814,73;0,18;;;534.297.795,23;27.705,00;Ativa;57.485.300,00
BBFO11;64,64;0,730000;13,81;77,93;0,83;205.913,09;0,63;;;312.042.460,74;5.267,00;Passiva;4.003.900,00
